;Adresse;CP;Ville;Nutella;Riz;Pates;Beurre;Caprice des dieux;Papier toilette;Pain de mie
637; 43 Rue Gallieni;77590;Chartrettes ;4.65;1.59;1.55;2.21;2.99;2.09;1.25
638; 43 Rue Richelieu;75001;Paris ;5.76;2.03;2.16;2.85;3.66;2.32;1.64
639; 43/45 Avenue De St Mesmin;45100;Orléans ;4.65;1.49;1.55;2.21;2.89;1.99;
640; 44 Avenue De La Republique;76250;Déville-lès-Rouen ;4.65;1.59;1.59;;2.99;2.15;1.25
641; 44 Place Du General De Gaulle;62170;Montreuil ;5.68;2.24;1.89;3.28;;;1.47
642; 44 Route De Genas;69680;Chassieu ;4.65;1.59;1.59;;2.99;2.09;1.25
643; 44 Route De St Agreve Leygat;43190;Tence ;;1.59;1.43;;2.99;2.15;1.25
644; 44 Rue De La Republique;06600;Antibes ;5.26;2.01;2.03;2.95;3.38;2.2;1.52
645; 44 Rue Michel Servet;69100;Villeurbanne ;5.14;1.97;1.91;2.86;3.32;2.15;1.51
646; 45 Avenue Gambetta;08300;Rethel ;5.5;;;;;2.59;
647; 45 Rue Du Chasnot;25000;Besançon ;5.29;1.85;1.99;2.95;2.99;2.5;1.35
648; 45 Rue Lecourbe;75015;Paris ;5.67;2.03;2.16;2.85;3.66;2.32;1.64
649; 450 Avenue Jean Falconnier;01350;Culoz ;4.79;1.65;1.45;;2.99;;1.25
650; 459 Avenue Du General Pruneau;83200;Toulon ;4.65;1.59;1.55;2.2;2.99;2.15;1.29
651; 46 Avenue D'auvergne;23000;Guéret ;4.6;1.49;;;2.89;1.89;
652; 46 Avenue De Lattre De Tassigny Cc Mayenne;53000;Laval ;4.6;1.49;1.55;2.39;2.89;1.99;1.25
653; 46 Grande Rue;39100;Dole ;5.77;2.15;;3.13;;;1.58
654; 46 Place Des Carmes;76000;Rouen ;5.21;2.21;1.75;2.74;3.17;2.38;1.3
655; 46 Rue Des Acacias;75017;Paris ;5.85;;1.9;3.39;3.6;2.75;1.45
656; 46 Rue Jean Jaures;51110;Bazancourt ;4.99;1.75;1.9;2.7;2.99;2.35;1.25
657; 46bd De Chanzy;93190;Livry-Gargan ;5.39;1.96;2.09;;3.58;;1.73
658; 47 Avenue De L'europe;92310;Sèvres ;;2.08;2.21;;3.78;2.41;1.69
659; 47 Bis Rue De Rennes;35510;Cesson-Sévigné ;5.09;2.16;1.84;;3.1;;
660; 47 Route De Genas;69100;Villeurbanne ;5.07;1.97;;;;2.15;
661; 47 Rue Georges Haussmann Zac Villaroy;78280;Guyancourt ;4.65;1.65;1.65;;2.99;2.29;1.35
662; 47 Rue Gosset Centre Commercial Jacquart;51100;Reims ;4.65;1.59;;;2.99;2.15;1.29
663; 47 Rue Pierre Gaultier;36000;Châteauroux ;4.6;1.49;1.55;2.29;2.89;2.15;1.25
664; 476 Faubourg Montmelian 0;73000;Chambéry ;5.14;1.97;1.91;2.86;3.32;2.15;1.51
665; 47r.J.Baptiste Lebas;59133;Phalempin ;;2.07;1.76;2.87;2.99;2.13;1.28
666; 48 Cours Vitton;69006;Lyon ;5.77;2.15;1.87;;3.58;;
667; 48-50 Rue D'arras;62500;Saint-Omer ;5.28;2.19;1.86;3.06;3.35;;1.35
668; 49 Avenue De La Republique;14800;Deauville ;4.65;2.05;1.59;;3.3;;1.5
669; 49 Avenue Montesquieu;33700;Mérignac ;4.65;1.65;1.59;;2.99;2.29;1.35
670; 49 Rue De L'alma;35000;Rennes ;5.09;2.16;1.84;;2.99;2.32;1.27
671; 49 Rue Pierre Decock;59123;Bray-Dunes ;4.65;;1.65;;2.99;2.29;1.35
672; 493 Av De Lattre De Tassigny Cc Le Caillou;33200;Bordeaux ;4.75;1.65;;;2.99;2.29;1.35
673; 496 Rte De Montauban;82290;Montbeton ;5.53;2.07;2.2;;3.48;;
674; 5 Allee P Lamouroux Cc Via Bella;94400;Vitry-sur-Seine ;4.65;1.49;1.39;2.2;2.89;1.99;1.25
675; 5 Avenue Ferber;62250;Marquise ;4.65;1.59;1.55;;2.99;2.15;1.25
676; 5 Bd Beaumarchais;75004;Paris ;5.8;2.08;2.21;;3.78;2.41;1.69
677; 5 Bd Eugene Cabassud;13010;Marseille ;4.75;1.65;1.46;;2.99;;
678; 5 Bis Avenue Georges Clemenceau;51100;Reims ;4.65;1.59;1.65;;2.99;2.29;1.29
679; 5 Boulevard Belfort;59000;Lille ;5.02;2.16;1.84;2.67;3.16;2.32;
680; 5 Et 7 Rue Samaritaine;01000;Bourg-en-Bresse ;4.75;1.59;1.43;;2.99;2.29;1.25
681; 5 Pl Docteur Albert Schwei;67800;Hoenheim ;5.65;;;3.05;3.39;;
682; 5 Pl Du Bas Pouldu;56520;Guidel Plages ;5.72;2.33;;;3.49;2.61;
683; 5 Place De L'europe;78860;Saint-Nom-la-Bretèche ;5.79;2.03;2.16;2.85;3.91;2.32;1.64
684; 5 Route De Libourne;33750;Saint-Germain-du-Puch ;4.87;1.87;1.99;;2.99;2.1;1.25
685; 5 Rue D'acy;02200;Venizel ;4.85;2.0;1.7;2.8;2.99;;1.22
686; 5 Rue De La Croix St Jacques;91620;La Ville-du-Bois ;4.6;1.49;1.59;2.29;2.99;2.29;
687; 5 Rue De Metz;57865;Amanvillers ;4.87;1.9;2.02;2.5;2.99;2.15;1.29
688; 5 Rue Du Lavoir;78200;Mantes-la-Jolie ;4.75;1.59;;;2.99;2.15;1.25
689; 5 Rue Emile Zola;42500;Le Chambon-Feugerolles ;4.65;1.59;1.39;;2.99;2.09;1.34
690; 5 Rue Franklin;93100;Montreuil ;4.65;;;2.21;2.99;2.29;1.29
691; 5 Rue Grande Fontaine;55130;Gondrecourt-Chateau ;4.87;1.96;1.96;2.76;2.99;2.12;1.33
692; 5 Rue Jean Jaures 0;54530;Pagny-sur-Moselle ;4.99;1.75;1.9;;2.99;;1.25
693; 5 Rue Jules Ferry;62270;Frévent ;4.65;1.59;1.59;;2.99;2.29;
694; 5 Rue Perrin;56000;Vannes ;4.65;1.49;1.55;2.39;2.99;1.99;1.25
695; 5-15 Avenue Faidherbe Cc Babylone;93310;Le Pré-Saint-Gervais ;4.65;1.59;1.55;2.21;2.99;;1.25
696; 5-7 Bd Cosmao Dumanoir Cc L'orientis;56100;Lorient ;;1.59;1.39;2.45;2.99;;1.25
697; 5-7 Rue De Bidefort 0;29400;Landivisiau ;5.09;2.16;1.84;2.67;3.1;2.32;1.27
698; 5-7 Rue Gambetta;50100;Cherbourg-en-Cotentin ;5.09;2.16;1.84;2.67;2.99;2.32;1.27
699; 5-7 Square Des Fusilles Za Bouchayer Viallet;38000;Grenoble ;5.14;1.97;1.91;2.86;3.32;2.15;1.51
700; 50 Avenue De La Republique;27700;Les Andelys ;4.65;1.59;1.59;;2.99;2.29;1.25
701; 50 Avenue Robert Schumann;95350;Saint-Brice-sous-Forêt ;;1.45;1.55;2.29;2.99;1.99;1.25
702; 50 Boulevard Des Metairies Cc Bourgchevreuil;35510;Cesson-Sévigné ;4.99;2.14;1.8;;3.06;2.29;1.26
703; 50 Cours Du President Jf Kennedy;35000;Rennes ;4.65;1.59;1.43;2.45;2.99;2.29;1.25
704; 50 Rue De Brest;29860;Bourg-Blanc ;5.54;2.33;2.02;;3.37;;
705; 50 Rue Domremy;75013;Paris ;5.54;2.03;2.16;;2.99;2.32;1.64
706; 50-56 Boulevard Marechal Joffre;92340;Bourg-la-Reine ;4.75;1.59;1.49;2.21;2.99;2.15;1.25
707; 500 Avenue Roland Huguet;62560;Fauquembergues ;;2.0;1.7;2.8;2.99;2.08;1.22
708; 51 Av Jean Mermoz;69008;Lyon ;5.26;2.01;1.98;2.95;;2.2;1.52
709; 51 Rue De La Republique;03630;Désertines ;4.65;1.59;;;2.99;;1.25
710; 51 Rue Des Pyrenees 0;75020;Paris ;5.54;2.03;2.16;;3.66;2.32;1.64
711; 51 Rue Du Docteur Dagorno 0;94440;Villecresnes ;5.3;1.93;2.09;2.77;3.49;2.2;1.52
712; 51 Rue Du General Brunet;75019;Paris ;5.54;2.03;2.16;;3.66;2.32;1.64
713; 515 Route De Carpentras;84320;Entraigues-sur-la-Sorgue ;4.79;1.65;1.65;2.28;2.99;2.39;1.39
714; 52 Avenue De La Liberation;76370;Neuville Les Dieppe ;4.65;1.49;1.39;;2.89;1.89;1.25
715; 52 Avenue De La Somme Cc Merignac Soleil;33700;Mérignac ;4.6;1.49;1.55;;2.99;2.15;1.25
716; 52 Route De Cepet;31790;Saint-Sauveur ;4.87;1.87;1.99;2.45;2.92;2.1;1.25
717; 53 Avenue Du Pigonnet;13090;Aix En P -Pigonnet ;5.26;2.01;2.03;2.95;3.38;2.2;1.52
718; 53 Avenue Jean Jaures;59920;Quiévrechain ;4.65;1.49;1.55;;2.89;2.09;1.25
719; 53 Boulevard Leon Blum;56100;Lorient ;5.09;2.16;1.84;;3.1;;
720; 53 Rue Brillat Savarin;01100;Oyonnax ;4.65;1.49;1.43;2.45;2.95;2.15;1.25
721; 53 Rue De La Sinne 0;68100;Mulhouse ;5.19;1.79;;2.8;3.1;2.45;1.3
